ENVIRONMENTAL PROTECTION DEPARTMENT HONG KONG SPECIAL ADMINISTRATIVE REGION (CHINA) Hourly AQHI (January 2014)
Note:
1. The EPD has been reporting AQHI for individual stations on an hourly basis since 30.12.2013
2. Empty cells mean that AQHI data are not available for that period.
3. The AQHI information is based on raw data taken directly from EPD's Air Quality Monitoring Network.
"4. In case of station or equipment suspension due to maintenance, the data collection for calculation of AQHI at station will be affected, the data of a most similar station will then be adopted. Such AQHI will be marked with an asterisk (*)."
			
Date,Hour,Central/Western,Eastern,Kwun Tong,Sham Shui Po,Kwai Chung,Tsuen Wan,Yuen Long,Tuen Mun,Tung Chung,Tai Po,Sha Tin,Tap Mun,Causeway Bay,Central,Mong Kok
2014-01-01,01,6,7,9,8,6,6,6,8,6,6,6,4,10,7,9
,02,6,7,9*,7,6,5,6,8,5,5,6*,4,10,7,9
,03,6,6,8*,7,6,5,6,7,5,5,6*,5,9,6,8
,04,6,6,8*,7*,6*,5*,6*,7,4*,5,6*,4*,9,5,8
,05,5,5,7,6,5,5,,7,5,5,5,4,8,5,7
,06,5,5,6,6,5,5,,7,5,5,5,4,7,5,6
,07,5,5,6,6,5,5,6,7,5,5,5,4,7,5,6
,08,5,4,6,6,5,4,6,6,5,4,5,4,8,5,6
,09,5,5,6,6,5,5,6,6,5,4,5,4,8,6,7
,10,6,5,6,6,5,5,6,6,5,4,5,4,8,6,7
,11,6,5,5,6,5,5,6,5,5,5,5,5,8,6,7
,12,6,5,5,6,5,6,5,5,5,5,5,5,8,6,6
,13,6,5,6,6,5,6,6,6,6,5,5,6,7,6,6
,14,6,6,6,6,6,6,6,6,6,5,6,6,7,6,7
,15,6,6,6,6,6,6,6,6,7,5,6,7,7,6,7
,16,7,6,6,6,6,7,7,6,7,5,6,7,7,7,8
,17,7,6,7,7,7,7,7,7,7,5,7,7,7,7,8
,18,7,7,7,7,7,7,7,7,7,5,7,7,7,7,8
,19,7,7,7,7,7,7,7,7,6,5,7,7,7,7,8
,20,7,7,7,7,7,6,7,7,6,5,6,7,8,7,8
,21,7,7,8,8,6,6,7,7,6,5,6,7,9,8,8
,22,8,7,8,8,6,6,6,7,6,5,6,7,9,8,8
,23,7,7,8,8,6,6,6,7,5,5,6,6,9,8,8
,24,7,6,7,8,6,6,6,7,5,5,6,6,9,8,9
2014-01-02,01,7,6,7,8,6,6,6,7,5,5,6,6,9,7,8
,02,6,6,7,7,6,5,5,6,5,5,5,5,8,7,8
,03,6,5,6,7,6,5,5,6,5,5,5,5,7,6,7
,04,6,5,6,6,6*,5*,5*,6,3*,5,5,2*,6,6,6
,05,6,4,5,6,,5,4,5,5,4,4,5,6,5,5
,06,5,4,5,5,,5,4,5,4,4,4,4,5*,5,5
,07,5,4,5,5,5,5,4,5,4,4,4,4,6,5,5
,08,5,4,5,5,5,4,4,5,4,4,4,4,6,5,6
,09,5,5,5,5,5,5,5,6,4,5,5,4,7,6,6
,10,5,5,5,6,6,5,6,6,4,5,5,4,7*,6,6
,11,5,5,5,6,6,5,6,6,5,5,5,4,7*,6,6
,12,5,5*,5,6,6,5,6,6,6,5,5,5,6*,6,6
,13,6,5*,5,6,6,5,6,6,6,5*,5,6,7,6,6
,14,6*,5,6,6,6,6,6,6,6,5*,5,6,7*,6,6
,15,6*,6,6,6,6,6,6,6,7,5*,5,6,7,6,6
,16,6*,6,6,6,6,7,6,6,7,5,6,6,7,7,7
,17,6*,6,6,6,6,7,6,7,7,5,6,6,7,7,7
,18,6,6,6,6,6,7,7,8,7,5,6,6,7,7,7
,19,6,6,6,6,6,7,7,8,7,5,5,6,7,7,7
,20,5,6,6,6,5,7,7,8,7,5,5,6,7,6,7
,21,5,5,6,6,5,6,6,8,6,5,5,5,7,6,7
,22,5,5,5,6,5,5,6,7,6,4,5,5,7,6,6
,23,5,5,5,6,5,5,6,7,5,4,5,4,7,6,6
,24,5,5,5,5,5,5,5,7,5,4,5,4,6,6,6
2014-01-03,01,5,5,5,5,5,4,5,6,4,4,4,4,6,6,6
,02,5,5,5,5,5,4,5,6,4,4,4,3,6,5,5
,03,5,4,5,5,4,4,4,5,4,4,4,4,5,5,5
,04,4,4,4,5,5*,5*,4*,5,4*,4,4,2*,5,5,4
,05,4,4,4,4,4,4,4,5,4,4,4,4,5,5,4
,06,4,4,4,5,4,3,4,5,4,4,4,4,5,5,4
,07,4,4,4,5,5,4,4,5,4,4,4,4,5,5,5
,08,4,5,5,5,5,4,4,5,4,4,4,4,7,6,5
,09,4,5,6,6,7,6,5,6,4,5,4,4,8,8,7
,10,5,6,6,7,8,7,5,6,5,5,5,4,9,9,7
,11,5,6,7,7,8,7,6,6,5,6,5,5,9,10,8
,12,6,6,7,7,7*,7,6,7,6,6,6,6,9,9,7
,13,6,6,7,6,7*,8,7,7,8,7,6,6,10,7,7
,14,6,6,7,6,7*,9,8,8,9,,6,7,10,7,8
,15,7,6,8,7,9*,10,10,9,9,,7,7,10,8,8
,16,8,8,9,8,10,10+,10+,10,9,,8,8,10,9,9
,17,9,8,10,9,10+,10,10+,9,8,,10,8,10+,10,10
,18,9,9,10,10,10+,10,10,9,9,10,10+,8,10+,10+,10+
,19,9,9,10+,10,10,10,9,9,9,10,10+,8,10+,10+,10+
,20,9,9,10+,10+,10,9,9,9,10,9,10,8,10+,10+,10+
,21,9,9,10+,10+,10,8,9,10,9,9,9,8,10+,10+,10+
,22,9,9,10,10,,8,9,10,9,8,8,7,10+,10+,10
,23,9,9,10,10,,8,8,9,8,8,8,7,10+,10,10
,24,8,8,9,9,,8,8,9,7,7,8,6,10+,10,10
2014-01-04,01,8,7,9,8,,8,8,9,7,7,8,6,10+,9,9
,02,8,6,8,8,7*,7,7,9,6,6,7,6,10+,8,8
,03,7,6,7,7,7,6,7,8,6,6,7,7,9,7,7
,04,6,5,6,6,6*,7*,7*,8,6*,5,7,4*,8,6,6
,05,6,5,6,6,6,5,6,7,5,5,6,6,6,6,6
,06,6,5,6,6,6,5,6,6,5,5,5,7,6,5,6
,07,6,5,6,6,6,5,6,6,5,4,5,7,6,6,6
,08,6,5,6,6,6,5,6,6,5,5,5,7,7,7,6
,09,6,6,7,6,6,6,6,6,6,5,6,7,8,8,6
,10,6,6,7,6,7,6,7,7,6,6,6,7,8,8,7
,11,7,6,7,7,7,7,7,7,6,6,6,7,8,8,7
,12,7,6,7,7,7,7,8,8,7,6,7,7,8,9,7
,13,7,6,7,7,7,7,8,8,8,6,8,8,9,9,7
,14,8,7,8,7,8,8,8,8,9,7,8,8,10,9,8
,15,8,7,8,8,8,8,9,9,9,7,8,8,10,9,8
,16,8,8,9,8,8,9,9,9,10,7,9,9,10+,10,9
,17,9,8,9,8,9,9,9,9,10,7,9,9,10,10,9
,18,9,8,9,8,9,9,8,9,9,8,8,9,9,9,9
,19,8,8,9,8,8,9,8,8,9,8,8,8,8,9,9
,20,8,8,8,8,8,8,8,8,8,7,8,8,8,9,9
,21,8,7,8,8,8,8,8,8,8,7,8,7,9,9,8
,22,8,7,8,8,8,8,8,8,7,7,7,7,9,9,8
,23,7,6,7,7,7,7,8,8,7,6,7,7,9,9,7
,24,7,6,7,7,7,7,7,8,7,6,6,7,9,8,7
2014-01-05,01,7,6,7,7,6,6,7,7,6,6,6,7,8,8,6
,02,6,6,7,6,6,6,7,7,6,5,6,6,7,7,6
,03,6,5,6,6,6,6,7,6,5,5,6,6,7,6,6
,04,6,5,6,6,5*,6*,6*,6,5*,5,5,3*,6,6,6
,05,6,5,6,6,6,5,6,6,,4,5,,6,6,6
,06,6,5,6,6,6,5,6,6,,4,5,,6,6,6
,07,6,5,6,6,6,5,6,6,5,4,5,5,6,6,6
,08,6,5,6,6,6,5,5,6,5,4,5,5,6,6,6
,09,6,5,6,6,6,6,5,6,5,4,5,5,6,6,6
,10,6,5,6,6,6,6,5,6,6,5,5,5,7,7,7
,11,6,6,7,7,7,7,6,6,7,5,6,6,7,7,7
,12,7,6,7,7,7,8,7,6,7,5,7,6,8,7,8
,13,7,6,8,8,8,8,8,7,8,6,8,7,8,8,8
,14,8,7,8,8,8,8,8,8,8,6,8,8,8,8,8
,15,8,7,8,8,8,8,8,8,8,6,8,9,9,8,9
,16,8,8,8,8,8,9,8,8,9,7,8,9,9,9,9
,17,8,8,8,8,8,9,8,8,9,7,8,9,9,9,9
,18,8,8,9,8,8,9,8,9,9,7,9,9,9,9,9
,19,8,8,8,9,8,9,8,8,9,7,8,9,9,9,9
,20,8,8,8,9,8,9,8,8,8,7,8,9,9,9,9
,21,8,7,8,8,8,9,8,8,8,7,8,9,9,8,9
